StepsInEval,TrajsInEval,CumEvalTime,CumTrainTime,Iteration,CumTime (s),CumSteps,CumCompletedTrajs,CumUpdates,StepsPerSecond,UpdatesPerSecond,ReplayRatio,CumReplayRatio,q1LossAverage,q1LossStd,q1LossMedian,q1LossMin,q1LossMax,q2LossAverage,q2LossStd,q2LossMedian,q2LossMin,q2LossMax,piLossAverage,piLossStd,piLossMedian,piLossMin,piLossMax,q1GradNormAverage,q1GradNormStd,q1GradNormMedian,q1GradNormMin,q1GradNormMax,q2GradNormAverage,q2GradNormStd,q2GradNormMedian,q2GradNormMin,q2GradNormMax,piGradNormAverage,piGradNormStd,piGradNormMedian,piGradNormMin,piGradNormMax,q1Average,q1Std,q1Median,q1Min,q1Max,q2Average,q2Std,q2Median,q2Min,q2Max,piMuAverage,piMuStd,piMuMedian,piMuMin,piMuMax,piLogStdAverage,piLogStdStd,piLogStdMedian,piLogStdMin,piLogStdMax,qMeanDiffAverage,qMeanDiffStd,qMeanDiffMedian,qMeanDiffMin,qMeanDiffMax,alphaAverage,alphaStd,alphaMedian,alphaMin,alphaMax
0,0,58.097132444381714,0.0015568733215332031,0,58.09868931770325,40,0,0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,0,129.76509761810303,945.1206378936768,249,1074.8857355117798,10000,40,0,10.580677293282399,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,0,187.93850326538086,2240.3864591121674,499,2428.324962377548,20000,80,10000,7.720422971242102,7.720422971242102,256.0,128.0,0.03733599170800298,0.32877802610544316,0.015904313884675503,0.006081737577915192,9.697569847106934,0.037567877687653524,0.3255944390327017,0.015222104266285896,0.005894277710467577,8.951602935791016,-38.64948391456604,9.820234469086282,-43.5324649810791,-46.1032600402832,-4.425175666809082,2.188453990863986,1.8154474525884121,1.7238377814156312,0.050677876384071584,15.011148712674757,2.164006743214942,1.7359110949081382,1.7173118601516832,0.054340131044963505,14.56123407632117,0.2187860301446403,0.2022516216790029,0.13654841740279522,0.0439520098284424,3.6716263968710092,37.12275,11.094848,41.99772,-0.0988476,53.400383,37.121384,11.097885,41.993633,0.05424352,53.389862,-0.11311195,0.22554371,-0.028756797,-1.9443116,1.9670775,-0.17169239,0.055701308,-0.15536842,-1.1553204,0.95728886,0.042710836900025605,0.024640216852343612,0.0404558926820755,0.016801446676254272,0.49416112899780273,0.3170703519601375,0.25633563171722235,0.22322142124176025,0.051378700882196426,0.9997000694274902
0,0,263.0978298187256,3485.3525998592377,749,3748.4504296779633,30000,120,20000,8.032346963267027,8.032346963267027,256.0,170.66666666666666,0.03367823035307228,0.018420262283094777,0.027966920286417007,0.00886590126901865,0.21458740532398224,0.03308759599523619,0.018068634037359824,0.02765253186225891,0.009265645407140255,0.2108336240053177,-34.281722890853885,4.752662184083677,-34.11102104187012,-42.87191390991211,-25.67627716064453,2.7606316666937563,1.8296253927189419,2.339884198469341,0.23928896345353512,22.758416845659013,2.6420580729085827,1.7539229521060804,2.214960398626282,0.23738012098817368,20.46129645038436,0.135676708564582,0.03955527645856283,0.13083958908514798,0.0443240242902949,0.34775766622978793,34.05845,5.4232984,34.11638,15.764808,51.808895,34.058323,5.4235673,34.11526,15.7845335,51.490894,-0.4197287,0.9668987,-0.52134275,-5.276078,8.702067,-0.5388174,0.2365915,-0.5128287,-2.1010933,1.5837964,0.07980497360303998,0.00960974280956748,0.07940660789608955,0.056181974709033966,0.1292797029018402,0.01764902419196442,0.012708615778559529,0.013107584789395332,0.004511741455644369,0.051364000886678696
0,0,324.95833945274353,5203.62394285202,999,5528.582282304764,40000,200,30000,5.819802582857837,5.819802582857837,256.0,192.0,0.023334520501969384,0.010138104983696874,0.020667186938226223,0.007660747040063143,0.09326642006635666,0.023226636975537986,0.010023294300617219,0.020481259562075138,0.007158953696489334,0.09865834563970566,-19.119542760181428,3.764850170257663,-18.851682662963867,-26.716310501098633,-12.686890602111816,1.9185955178871343,1.1974542050244956,1.637950457009696,0.21952461301689716,9.385220452627212,1.796786669483435,1.1000303689342308,1.5281488797755802,0.23740505502715553,8.163914049371897,0.13105788647679245,0.03656474434488544,0.12610265057910233,0.05197773702248981,0.35916712906171394,18.963999,4.971439,18.998142,1.7754766,31.946573,18.964012,4.9711485,18.996181,1.8343128,31.910324,-0.18302606,1.5825148,-0.326974,-6.779266,7.836179,-0.65144473,0.2837914,-0.64022946,-2.2684226,1.743226,0.08341409213766456,0.006976150491450549,0.08274410665035248,0.06345951557159424,0.12704050540924072,0.004225313414866105,0.000391802950272137,0.004170053172856569,0.003534376621246338,0.005051610060036182
0,0,405.5446512699127,6485.55871629715,1249,6891.103367567062,50000,240,40000,7.8007089027825876,7.8007089027825876,256.0,204.8,0.018884697293443605,0.00788308339502713,0.01679564081132412,0.0067609502002596855,0.12586401402950287,0.018460672927228732,0.007605016338426382,0.016443805769085884,0.007138493470847607,0.11575910449028015,-8.509456433391572,2.470952543551294,-8.380234241485596,-13.563725471496582,-4.184614658355713,1.4826340783639402,0.8565992104861392,1.2873828490164132,0.21501713111481258,10.44301629720452,1.367543005401781,0.825824698069255,1.1771198158531462,0.21399227667394086,14.241581074519859,0.13978437448395983,0.03629697436096339,0.13506142854131398,0.056325447707437096,0.31226754803669676,8.377557,3.8489845,8.346386,-4.538558,21.172386,8.37757,3.8491917,8.345477,-4.4049616,21.173893,-0.012977887,1.5647187,-0.12826625,-6.53108,5.1717663,-0.735352,0.27233216,-0.7069615,-2.6839097,1.4378161,0.08633694331198931,0.006992156955612719,0.08562503010034561,0.06527365744113922,0.13937054574489594,0.0040183326074155045,0.0002513960209479478,0.004043441964313388,0.003510336624458432,0.004380975849926472
0,0,478.8832104206085,7676.66025853157,1499,8155.543468952179,60000,280,50000,8.395589834633846,8.395589834633846,256.0,213.33333333333334,0.01942720117061399,0.007398655078266777,0.017583788372576237,0.006826578173786402,0.10655660927295685,0.018572814534790812,0.0072003085742345,0.016706382855772972,0.006924347952008247,0.10897660255432129,-1.9198914964256808,1.4188626346862019,-1.8184154629707336,-4.949535369873047,0.7901217341423035,1.6725669746826586,0.9632282085266523,1.4454463729921228,0.2424420343725441,11.870329089491845,1.51754935913025,0.8884620000809462,1.3148470856809964,0.26302526500411977,12.33678753307993,0.17886564921739656,0.04481585158590752,0.17247247067510163,0.07662806440381068,0.4375066199926704,1.7771562,3.064246,1.7615528,-9.814814,13.216136,1.7768154,3.0645287,1.761433,-9.781422,13.159115,0.06313803,1.5279663,0.039580192,-7.456285,8.425518,-0.7866766,0.27097917,-0.7498199,-3.5587323,1.0642232,0.08948112514391542,0.007897344151425283,0.08848906308412552,0.06916621327400208,0.17771852016448975,0.0038473948635393755,0.000178163499359319,0.003871573368087411,0.0034800306893885136,0.004166296683251858
0,0,555.2249484062195,9075.351472854614,1749,9630.576421260834,70000,320,60000,7.1495408690616005,7.1495408690616005,256.0,219.42857142857142,0.029300165181141348,0.013382119529297005,0.026072049513459206,0.008390698581933975,0.18977119028568268,0.028251495101302863,0.012785178750262484,0.025037329643964767,0.007943511009216309,0.12118180841207504,1.7108308912313543,0.6797018829242366,1.8409315943717957,-0.09758245199918747,3.1878509521484375,2.8596560911632913,1.7972557167196912,2.431932410685713,0.40808106522418003,26.033783793603845,2.7794237841490625,1.7705206025644022,2.349951704601704,0.39183941677885337,18.313662385486385,0.23169380237584036,0.06175713823703454,0.22391044120325987,0.09066794608820922,0.5545948494143402,-1.8600123,3.2984164,-2.420928,-12.1003065,12.74973,-1.8605475,3.2984822,-2.424139,-12.125283,12.611288,0.03800781,1.5267307,-0.016867843,-8.835372,8.45054,-0.8014906,0.3444233,-0.75113845,-4.8395443,1.3775332,0.10217369004562497,0.010719369201819753,0.10145929455757141,0.07212410867214203,0.18397408723831177,0.004007575026666745,0.0004204581902977715,0.004007160430774093,0.0034071290865540504,0.00485440157353878
0,0,635.5367698669434,10726.978235006332,1999,11362.515004873276,80000,400,70000,6.0546366946562,6.0546366946562,256.0,224.0,0.030560852861683814,0.013988953988745731,0.02692718617618084,0.01009100116789341,0.18680737912654877,0.029780268023908138,0.013213928574959368,0.026376246474683285,0.011533538810908794,0.16196274757385254,2.94337978695631,0.4433906231926999,2.902931571006775,1.7071243524551392,4.420371055603027,3.903919193751678,2.351127531774947,3.3758277392270304,0.5776089638600445,25.332052337462304,3.931573110432115,2.475755823597785,3.358547735934647,0.4578883781812138,29.147786380220268,0.26119352510967114,0.06515357655290242,0.2500171035683952,0.12496964141423281,0.6013795455928175,-3.0961804,4.313256,-4.530389,-25.76333,11.898592,-3.0960512,4.3140073,-4.5317264,-25.972073,11.745303,-0.14803371,1.5162655,-0.22491902,-6.204679,5.8233933,-0.79510355,0.3367047,-0.73923504,-3.3869116,0.9797885,0.11555512185767293,0.011394046694566576,0.11415598541498184,0.08512287586927414,0.19587688148021698,0.005062039260705933,0.0003305825537584358,0.005020790034905076,0.0044576856307685375,0.005715719889849424
0,0,699.579639673233,12196.83737564087,2249,12896.417015314102,90000,440,80000,6.803373005989546,6.803373005989546,256.0,227.55555555555554,0.026260765657108276,0.01449381213530932,0.022787924855947495,0.010411816649138927,0.21578721702098846,0.02571253089113161,0.014028171441301656,0.02231378946453333,0.00884136650711298,0.220509335398674,3.1385825340747835,0.5419558154753686,3.187520146369934,1.1436588764190674,4.690013408660889,4.069179722667071,2.455986208626775,3.5406215788084476,0.5308077575349969,17.58984375914766,4.269652829738825,2.592977918123691,3.7128478843719552,0.4927912379824752,35.70077784266154,0.2696352767828183,0.0641385595786954,0.2600345246202024,0.13677126440495624,0.6687739691065857,-3.310614,5.7610097,-5.063801,-33.341434,11.493341,-3.3103747,5.76166,-5.0568733,-33.524048,11.523665,-0.1476293,1.4936609,-0.22974615,-7.4017467,7.7304397,-0.8411607,0.33984032,-0.7805512,-3.3047025,0.8939266,0.12073740242719651,0.011363819113523776,0.11912083253264427,0.0894908457994461,0.22026680409908295,0.0049687179930508136,0.00023001762201708216,0.004972917260602117,0.004586454946547747,0.005337334703654051
